query_no,query,cardinality_predict,cardinality_true,latency_ms,generated_spn_calls,latency_generated_code
0,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<2011 AND t.phonetic_code<11942 AND t.series_years<296 AND ci.role_id>2;",4049.907591916098,2727,1.3279356062412262,0,0.0
1,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=20682 AND t.production_year>1993 AND t.series_years>644 AND ci.role_id=1;",1.0,4,1.217324286699295,0,0.0
2,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code<11364 AND t.series_years<428 AND t.production_year=2009 AND ci.role_id<4;",638.7197099875004,29,1.1563599109649658,0,0.0
3,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code>850 AND t.production_year>2011 AND t.series_years>346 AND ci.role_id<2;",27499.446151129137,12036,1.1780448257923126,0,0.0
4,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code>17321 AND t.production_year=1964 AND t.series_years<767 AND ci.role_id>2;",13.912134874535537,156,1.1643320322036743,0,0.0
5,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.series_years<474 AND t.production_year>1956 AND t.phonetic_code>14786 AND ci.role_id=2;",1010.5226703337514,1010,1.1750869452953339,0,0.0
6,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=10311 AND t.production_year<2008 AND t.series_years<988 AND ci.role_id>1;",1.0,34,1.3079829514026642,0,0.0
7,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<2013 AND t.series_years<842 AND t.phonetic_code=348 AND ci.role_id>1;",15.248597465342895,5,1.1543631553649902,0,0.0
8,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<2012 AND t.phonetic_code>14188 AND t.series_years=116 AND ci.role_id<2;",1.3878559981695802,11,1.1528059840202332,0,0.0
9,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.series_years=1109 AND t.phonetic_code<18964 AND t.production_year<2011 AND ci.role_id>1;",72.82641760394279,104,1.1846385896205902,0,0.0
10,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=16804 AND t.series_years<351 AND t.production_year<2011 AND ci.role_id>1;",1.0,3,1.1736191809177399,0,0.0
11,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code=15862 AND t.series_years>1108 AND t.production_year<2001 AND ci.role_id>2;",1.0,2,1.1292211711406708,0,0.0
12,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code<16641 AND t.production_year<1969 AND t.series_years>105 AND ci.role_id=2;",16229.851556783598,9913,1.207105815410614,0,0.0
13,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.production_year<1974 AND t.phonetic_code<4570 AND t.series_years<554 AND ci.role_id>1;",1337.697000916855,7999,1.3452842831611633,0,0.0
14,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code<17498 AND t.production_year<2010 AND t.series_years>726 AND ci.role_id<4;",369340.1433665899,378740,1.1786669492721558,0,0.0
15,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.phonetic_code<16960 AND t.series_years>367 AND t.production_year<2009 AND ci.role_id<2;",185334.68305835716,192087,1.196548342704773,0,0.0
16,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.series_years>920 AND t.phonetic_code<22160 AND t.production_year=2011 AND ci.role_id>1;",33041.19006528106,24519,1.1311806738376617,0,0.0
17,"SELECT COUNT(*) FROM cast_info ci, title t WHERE t.id=ci.movie_id AND t.series_years>1259 AND t.production_year>2012 AND t.phonetic_code>9675 AND ci.role_id=1;",2624.3237411183927,1982,1.14377960562706,0,0.0
